title,year,quality,folder_path,file_path,size_bytes,container,original_path,fallback_mp4_path,has_mp4_fallback
Alien Romulus,2024,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Alien Romulus (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Alien Romulus (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Alien.Romulus.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,5696552895,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Alien Romulus (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Alien.Romulus.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Aliens,1986,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Aliens (1986) [2160p] [4K] [WEB] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Aliens (1986) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Aliens.1986.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,6575740537,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Aliens (1986) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Aliens.1986.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Apocalypse Now,1979,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Apocalypse Now (1979) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Apocalypse Now (1979) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Apocalypse.Now.1979.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,8900265326,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Apocalypse Now (1979) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Apocalypse.Now.1979.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Beetlejuice Beetlejuice,2024,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Beetlejuice Beetlejuice (2024) [1080p] [WEBRip] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Beetlejuice Beetlejuice (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Beetlejuice.Beetlejuice.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,2078786134,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Beetlejuice Beetlejuice (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Beetlejuice.Beetlejuice.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,,False
Bilby,2018,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Bilby (2018) [1080p] [BluRay] [x265] [10bit] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Bilby (2018) [1080p] [BluRay] [x265] [10bit] [5.1] [YTS.MX]/Bilby.2018.1080p.BluRay.x265.10bit.AAC5.1-[YTS.MX].mp4,142863382,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Bilby (2018) [1080p] [BluRay] [x265] [10bit] [5.1] [YTS.MX]/Bilby.2018.1080p.BluRay.x265.10bit.AAC5.1-[YTS.MX].mp4,,False
Leo,2023,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Leo (2023) [2160p] [4K] [WEB] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Leo (2023) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Leo.2023.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,5123183384,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Leo (2023) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Leo.2023.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Lilo Stitch,2025,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Lilo Stitch (2025) [1080p] [WEBRip] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Lilo Stitch (2025) [1080p] [WEBRip] [YTS.MX]/Lilo.Stitch.2025.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,1925239301,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Lilo Stitch (2025) [1080p] [WEBRip] [YTS.MX]/Lilo.Stitch.2025.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,,False
Little Dieter Needs To Fly,1997,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Little Dieter Needs To Fly (1997) [1080p] [WEBRip] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Little Dieter Needs To Fly (1997) [1080p] [WEBRip] [YTS.MX]/Little.Dieter.Needs.To.Fly.1997.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,1376236941,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Little Dieter Needs To Fly (1997) [1080p] [WEBRip] [YTS.MX]/Little.Dieter.Needs.To.Fly.1997.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,,False
Little Emma,2024,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Little Emma (2024) [1080p] [WEBRip] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Little Emma (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Little.Emma.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,1579021808,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Little Emma (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Little.Emma.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,,False
Lost In Starlight,2025,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Lost In Starlight (2025) [1080p] [WEBRip] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Lost In Starlight (2025) [1080p] [WEBRip] [5.1] [YTS.MX]/Lost.In.Starlight.2025.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,1948124745,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Lost In Starlight (2025) [1080p] [WEBRip] [5.1] [YTS.MX]/Lost.In.Starlight.2025.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,,False
Master And Commander The Far Side Of The World,2003,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Master And Commander The Far Side Of The World (2003) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Master And Commander The Far Side Of The World (2003) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Master.And.Commander.The.Far.Side.Of.The.World.2003.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,6952466294,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Master And Commander The Far Side Of The World (2003) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Master.And.Commander.The.Far.Side.Of.The.World.2003.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Mickey 17,2025,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Mickey 17 (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Mickey 17 (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Mickey.17.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,6560972885,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Mickey 17 (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Mickey.17.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Mighty Morphin Power Rangers Once Always,2023,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Mighty Morphin Power Rangers Once Always (2023) [1080p] [WEBRip] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Mighty Morphin Power Rangers Once Always (2023) [1080p] [WEBRip] [5.1] [YTS.MX]/Mighty.Morphin.Power.Rangers.Once.Always.2023.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,1150501815,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Mighty Morphin Power Rangers Once Always (2023) [1080p] [WEBRip] [5.1] [YTS.MX]/Mighty.Morphin.Power.Rangers.Once.Always.2023.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,,False
