name,year,quality,path,relative_path,folder,category,directory
Despicable Me 4,2024,2160p,/media/tushita/DATA/movies/Despicable.Me.4.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Despicable.Me.4.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,root,uncategorized,
Nosferatu,2024,1080p,/media/tushita/DATA/movies/Nosferatu 2024 1080p WEB-DL HEVC x265 5.1 BONE.mkv,Nosferatu 2024 1080p WEB-DL HEVC x265 5.1 BONE.mkv,root,uncategorized,
The Last Airbender,2010,2160p,/media/tushita/DATA/movies/The.Last.Airbender.2010.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,The.Last.Airbender.2010.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,root,uncategorized,
12 Angry Men,1957,1080p,/media/tushita/DATA/movies/12 Angry Men (1957) [BluRay] [1080p] [YTS.AM]/12.Angry.Men.1957.1080p.BluRay.x264-[YTS.AM].mp4,12 Angry Men (1957) [BluRay] [1080p] [YTS.AM]/12.Angry.Men.1957.1080p.BluRay.x264-[YTS.AM].mp4,12 Angry Men (1957) [BluRay] [1080p] [YTS.AM],12 Angry Men (1957) [BluRay] [1080p] [YTS.AM],12 Angry Men (1957) [BluRay] [1080p] [YTS.AM]
A Clockwork Orange,1971,2160p,/media/tushita/DATA/movies/A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/A.Clockwork.Orange.1971.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/A.Clockwork.Orange.1971.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX],A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX],A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX]
A Close Shave,1995,1080p,/media/tushita/DATA/movies/A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX]/A.Close.Shave.1995.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX]/A.Close.Shave.1995.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX],A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX],A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX]
A Matter Of Loaf And Death,2008,1080p,/media/tushita/DATA/movies/A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX]/A.Matter.Of.Loaf.And.Death.2008.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX]/A.Matter.Of.Loaf.And.Death.2008.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX],A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX],A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX]
A Minecraft Movie,2025,2160p,/media/tushita/DATA/movies/A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/A.Minecraft.Movie.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/A.Minecraft.Movie.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]
A Sloth Story,2024,1080p,/media/tushita/DATA/movies/A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/A.Sloth.Story.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/A.Sloth.Story.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX],A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX],A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX]
Alien,1979,2160p,/media/tushita/DATA/movies/Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Alien.1979.DC.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Alien.1979.DC.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX],Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX],Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX]
Alien Covenant,2017,2160p,/media/tushita/DATA/movies/Alien Covenant (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Alien.Covenant.2017.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Alien Covenant (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Alien.Covenant.2017.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Alien Covenant (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX],Alien Covenant (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX],Alien Covenant (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX]
Alien Romulus,2024,2160p,/media/tushita/DATA/movies/Alien Romulus (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Alien.Romulus.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Alien Romulus (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Alien.Romulus.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Alien Romulus (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Alien Romulus (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Alien Romulus (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]
Aliens,1986,2160p,/media/tushita/DATA/movies/Aliens (1986) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Aliens.1986.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Aliens (1986) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Aliens.1986.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Aliens (1986) [2160p] [4K] [WEB] [5.1] [YTS.MX],Aliens (1986) [2160p] [4K] [WEB] [5.1] [YTS.MX],Aliens (1986) [2160p] [4K] [WEB] [5.1] [YTS.MX]
Apocalypse Now,1979,2160p,/media/tushita/DATA/movies/Apocalypse Now (1979) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Apocalypse.Now.1979.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Apocalypse Now (1979) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Apocalypse.Now.1979.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Apocalypse Now (1979) [2160p] [4K] [BluRay] [5.1] [YTS.MX],Apocalypse Now (1979) [2160p] [4K] [BluRay] [5.1] [YTS.MX],Apocalypse Now (1979) [2160p] [4K] [BluRay] [5.1] [YTS.MX]
Beetlejuice Beetlejuice,2024,1080p,/media/tushita/DATA/movies/Beetlejuice Beetlejuice (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Beetlejuice.Beetlejuice.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,Beetlejuice Beetlejuice (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Beetlejuice.Beetlejuice.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,Beetlejuice Beetlejuice (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Beetlejuice Beetlejuice (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Beetlejuice Beetlejuice (2024) [1080p] [WEBRip] [5.1] [YTS.MX]
Hellboy The Crooked Man,2024,1080p,/media/tushita/DATA/movies/Hellboy The Crooked Man (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Hellboy.The.Crooked.Man.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,Hellboy The Crooked Man (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Hellboy.The.Crooked.Man.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,Hellboy The Crooked Man (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Hellboy The Crooked Man (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Hellboy The Crooked Man (2024) [1080p] [WEBRip] [5.1] [YTS.MX]
How To Train Your Dragon,2010,2160p,/media/tushita/DATA/movies/How To Train Your Dragon (2010) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/How.To.Train.Your.Dragon.2010.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,How To Train Your Dragon (2010) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/How.To.Train.Your.Dragon.2010.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,How To Train Your Dragon (2010) [2160p] [4K] [BluRay] [5.1] [YTS.MX],How To Train Your Dragon (2010) [2160p] [4K] [BluRay] [5.1] [YTS.MX],How To Train Your Dragon (2010) [2160p] [4K] [BluRay] [5.1] [YTS.MX]
How To Train Your Dragon Homecoming,2019,1080p,/media/tushita/DATA/movies/How To Train Your Dragon Homecoming (2019) [1080p] [WEBRip] [5.1] [YTS.MX]/How.To.Train.Your.Dragon.Homecoming.2019.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,How To Train Your Dragon Homecoming (2019) [1080p] [WEBRip] [5.1] [YTS.MX]/How.To.Train.Your.Dragon.Homecoming.2019.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,How To Train Your Dragon Homecoming (2019) [1080p] [WEBRip] [5.1] [YTS.MX],How To Train Your Dragon Homecoming (2019) [1080p] [WEBRip] [5.1] [YTS.MX],How To Train Your Dragon Homecoming (2019) [1080p] [WEBRip] [5.1] [YTS.MX]
How To Train Your Dragon The Hidden World,2019,2160p,/media/tushita/DATA/movies/How To Train Your Dragon The Hidden World (2019) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/How.To.Train.Your.Dragon.The.Hidden.World.2019.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,How To Train Your Dragon The Hidden World (2019) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/How.To.Train.Your.Dragon.The.Hidden.World.2019.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,How To Train Your Dragon The Hidden World (2019) [2160p] [4K] [BluRay] [5.1] [YTS.MX],How To Train Your Dragon The Hidden World (2019) [2160p] [4K] [BluRay] [5.1] [YTS.MX],How To Train Your Dragon The Hidden World (2019) [2160p] [4K] [BluRay] [5.1] [YTS.MX]
IF,2024,2160p,/media/tushita/DATA/movies/IF (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/IF.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,IF (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/IF.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,IF (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],IF (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],IF (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]
Inside Out 2,2024,HD,/media/tushita/DATA/movies/Inside.Out.2.2024.V2.HDTS.c1nem4.x264-SUNSCREEN[TGx]/Inside.Out.2.2024.V2.HDTS.c1nem4.x264-SUNSCREEN.mkv,Inside.Out.2.2024.V2.HDTS.c1nem4.x264-SUNSCREEN[TGx]/Inside.Out.2.2024.V2.HDTS.c1nem4.x264-SUNSCREEN.mkv,Inside.Out.2.2024.V2.HDTS.c1nem4.x264-SUNSCREEN[TGx],Inside.Out.2.2024.V2.HDTS.c1nem4.x264-SUNSCREEN[TGx],Inside.Out.2.2024.V2.HDTS.c1nem4.x264-SUNSCREEN[TGx]
Joe Versus The Volcano,1990,1080p,/media/tushita/DATA/movies/Joe Versus The Volcano (1990) [BluRay] [1080p] [YTS.AM]/Joe.Versus.The.Volcano.1990.1080p.BluRay.x264-[YTS.AM].mp4,Joe Versus The Volcano (1990) [BluRay] [1080p] [YTS.AM]/Joe.Versus.The.Volcano.1990.1080p.BluRay.x264-[YTS.AM].mp4,Joe Versus The Volcano (1990) [BluRay] [1080p] [YTS.AM],Joe Versus The Volcano (1990) [BluRay] [1080p] [YTS.AM],Joe Versus The Volcano (1990) [BluRay] [1080p] [YTS.AM]
Kung Fu Panda 4,2024,2160p,/media/tushita/DATA/movies/Kung Fu Panda 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Kung.Fu.Panda.4.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Kung Fu Panda 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Kung.Fu.Panda.4.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Kung Fu Panda 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Kung Fu Panda 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Kung Fu Panda 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]
Lego Star Wars Terrifying Tales,2021,2160p,/media/tushita/DATA/movies/Lego Star Wars Terrifying Tales (2021) [2160p] [4K] [WEB] [HDR] [5.1] [YTS.MX]/Lego.Star.Wars.Terrifying.Tales.2021.2160p.4K.WEB.x265.10bit.HDR.AAC5.1-[YTS.MX].mkv,Lego Star Wars Terrifying Tales (2021) [2160p] [4K] [WEB] [HDR] [5.1] [YTS.MX]/Lego.Star.Wars.Terrifying.Tales.2021.2160p.4K.WEB.x265.10bit.HDR.AAC5.1-[YTS.MX].mkv,Lego Star Wars Terrifying Tales (2021) [2160p] [4K] [WEB] [HDR] [5.1] [YTS.MX],Lego Star Wars Terrifying Tales (2021) [2160p] [4K] [WEB] [HDR] [5.1] [YTS.MX],Lego Star Wars Terrifying Tales (2021) [2160p] [4K] [WEB] [HDR] [5.1] [YTS.MX]
Leo,2023,2160p,/media/tushita/DATA/movies/Leo (2023) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Leo.2023.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Leo (2023) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Leo.2023.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Leo (2023) [2160p] [4K] [WEB] [5.1] [YTS.MX],Leo (2023) [2160p] [4K] [WEB] [5.1] [YTS.MX],Leo (2023) [2160p] [4K] [WEB] [5.1] [YTS.MX]
Little Emma,2024,1080p,/media/tushita/DATA/movies/Little Emma (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Little.Emma.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,Little Emma (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Little.Emma.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,Little Emma (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Little Emma (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Little Emma (2024) [1080p] [WEBRip] [5.1] [YTS.MX]
Mickey 17,2025,2160p,/media/tushita/DATA/movies/Mickey 17 (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Mickey.17.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Mickey 17 (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Mickey.17.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Mickey 17 (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],Mickey 17 (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],Mickey 17 (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]
Mighty Morphin Power Rangers Once Always,2023,1080p,/media/tushita/DATA/movies/Mighty Morphin Power Rangers Once Always (2023) [1080p] [WEBRip] [5.1] [YTS.MX]/Mighty.Morphin.Power.Rangers.Once.Always.2023.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,Mighty Morphin Power Rangers Once Always (2023) [1080p] [WEBRip] [5.1] [YTS.MX]/Mighty.Morphin.Power.Rangers.Once.Always.2023.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,Mighty Morphin Power Rangers Once Always (2023) [1080p] [WEBRip] [5.1] [YTS.MX],Mighty Morphin Power Rangers Once Always (2023) [1080p] [WEBRip] [5.1] [YTS.MX],Mighty Morphin Power Rangers Once Always (2023) [1080p] [WEBRip] [5.1] [YTS.MX]
Mighty Morphin Power Rangers The Movie,1995,1080p,/media/tushita/DATA/movies/Mighty Morphin Power Rangers The Movie (1995) [1080p] [BluRay] [5.1] [YTS.MX]/Mighty.Morphin.Power.Rangers.The.Movie.1995.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Mighty Morphin Power Rangers The Movie (1995) [1080p] [BluRay] [5.1] [YTS.MX]/Mighty.Morphin.Power.Rangers.The.Movie.1995.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Mighty Morphin Power Rangers The Movie (1995) [1080p] [BluRay] [5.1] [YTS.MX],Mighty Morphin Power Rangers The Movie (1995) [1080p] [BluRay] [5.1] [YTS.MX],Mighty Morphin Power Rangers The Movie (1995) [1080p] [BluRay] [5.1] [YTS.MX]
Moana 2,2024,2160p,/media/tushita/DATA/movies/Moana 2 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Moana.2.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Moana 2 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Moana.2.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Moana 2 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Moana 2 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Moana 2 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]
Blade Runner 2049,2017,2160p,/media/tushita/DATA/movies/Blade Runner 2049 (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Blade.Runner.2049.2017.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Blade Runner 2049 (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Blade.Runner.2049.2017.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Blade Runner 2049 (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX],Blade Runner 2049 (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX],Blade Runner 2049 (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX]
Charade,1963,1080p,/media/tushita/DATA/movies/Charade (1963) [BluRay] [1080p] [YTS.AM]/Charade.1963.1080p.BluRay.x264-[YTS.AM].mp4,Charade (1963) [BluRay] [1080p] [YTS.AM]/Charade.1963.1080p.BluRay.x264-[YTS.AM].mp4,Charade (1963) [BluRay] [1080p] [YTS.AM],Charade (1963) [BluRay] [1080p] [YTS.AM],Charade (1963) [BluRay] [1080p] [YTS.AM]
Chicken Run,2000,1080p,/media/tushita/DATA/movies/Chicken Run (2000) [1080p]/Chicken.Run.2000.1080p.BrRip.x264.Deceit.YIFY.mp4,Chicken Run (2000) [1080p]/Chicken.Run.2000.1080p.BrRip.x264.Deceit.YIFY.mp4,Chicken Run (2000) [1080p],Chicken Run (2000) [1080p],Chicken Run (2000) [1080p]
Chicken Run Dawn Of The Nugget,2023,1080p,/media/tushita/DATA/movies/Chicken Run Dawn Of The Nugget (2023) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX]/Chicken.Run.Dawn.Of.The.Nugget.2023.1080p.WEBRip.x265.10bit.AAC5.1-[YTS.MX].mp4,Chicken Run Dawn Of The Nugget (2023) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX]/Chicken.Run.Dawn.Of.The.Nugget.2023.1080p.WEBRip.x265.10bit.AAC5.1-[YTS.MX].mp4,Chicken Run Dawn Of The Nugget (2023) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],Chicken Run Dawn Of The Nugget (2023) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],Chicken Run Dawn Of The Nugget (2023) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX]
Conan The Barbarian,1982,1080p,/media/tushita/DATA/movies/Conan The Barbarian (1982) [1080p] [YTS.AG]/Conan.The.Barbarian.1982.1080p.BluRay.x264-[YTS.AG].mp4,Conan The Barbarian (1982) [1080p] [YTS.AG]/Conan.The.Barbarian.1982.1080p.BluRay.x264-[YTS.AG].mp4,Conan The Barbarian (1982) [1080p] [YTS.AG],Conan The Barbarian (1982) [1080p] [YTS.AG],Conan The Barbarian (1982) [1080p] [YTS.AG]
Conan The Destroyer,1984,1080p,/media/tushita/DATA/movies/Conan The Destroyer (1984) [1080p] [YTS.AG]/Conan.The.Destroyer.1984.1080p.BluRay.x264-[YTS.AG].mp4,Conan The Destroyer (1984) [1080p] [YTS.AG]/Conan.The.Destroyer.1984.1080p.BluRay.x264-[YTS.AG].mp4,Conan The Destroyer (1984) [1080p] [YTS.AG],Conan The Destroyer (1984) [1080p] [YTS.AG],Conan The Destroyer (1984) [1080p] [YTS.AG]
Demolition Man,1993,2160p,/media/tushita/DATA/movies/Demolition Man (1993) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Demolition.Man.1993.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Demolition Man (1993) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Demolition.Man.1993.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Demolition Man (1993) [2160p] [4K] [BluRay] [5.1] [YTS.MX],Demolition Man (1993) [2160p] [4K] [BluRay] [5.1] [YTS.MX],Demolition Man (1993) [2160p] [4K] [BluRay] [5.1] [YTS.MX]
Despicable Me 4,2024,2160p,/media/tushita/DATA/movies/Despicable Me 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Despicable.Me.4.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Despicable Me 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Despicable.Me.4.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Despicable Me 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Despicable Me 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Despicable Me 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]
Moonshine Highway,1996,1080p,/media/tushita/DATA/movies/Moonshine Highway (1996) [1080p] [WEBRip] [YTS.MX]/Moonshine.Highway.1996.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,Moonshine Highway (1996) [1080p] [WEBRip] [YTS.MX]/Moonshine.Highway.1996.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,Moonshine Highway (1996) [1080p] [WEBRip] [YTS.MX],Moonshine Highway (1996) [1080p] [WEBRip] [YTS.MX],Moonshine Highway (1996) [1080p] [WEBRip] [YTS.MX]
My Cousin Vinny,1992,1080p,/media/tushita/DATA/movies/My Cousin Vinny (1992) [1080p] [YTS.AG]/My.Cousin.Vinny.1992.1080p.BluRay.x264-[YTS.AG].mp4,My Cousin Vinny (1992) [1080p] [YTS.AG]/My.Cousin.Vinny.1992.1080p.BluRay.x264-[YTS.AG].mp4,My Cousin Vinny (1992) [1080p] [YTS.AG],My Cousin Vinny (1992) [1080p] [YTS.AG],My Cousin Vinny (1992) [1080p] [YTS.AG]
Nausicaa of the Valley of the Wind,1984,1080p,/media/tushita/DATA/movies/Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli)/Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli).mp4,Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli)/Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli).mp4,Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli),Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli),Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli)
Nausicaa Of The Valley Of The Wind,1984,1080p,/media/tushita/DATA/movies/Nausicaa Of The Valley Of The Wind (1984) [JAPANESE] [1080p] [BluRay] [YTS.MX]/Nausicaa.Of.The.Valley.Of.The.Wind.1984.JAPANESE.1080p.BluRay.x264.AAC-[YTS.MX].mp4,Nausicaa Of The Valley Of The Wind (1984) [JAPANESE] [1080p] [BluRay] [YTS.MX]/Nausicaa.Of.The.Valley.Of.The.Wind.1984.JAPANESE.1080p.BluRay.x264.AAC-[YTS.MX].mp4,Nausicaa Of The Valley Of The Wind (1984) [JAPANESE] [1080p] [BluRay] [YTS.MX],Nausicaa Of The Valley Of The Wind (1984) [JAPANESE] [1080p] [BluRay] [YTS.MX],Nausicaa Of The Valley Of The Wind (1984) [JAPANESE] [1080p] [BluRay] [YTS.MX]
Over The Top,1987,1080p,/media/tushita/DATA/movies/Over The Top (1987) [REPACK] [1080p] [BluRay] [5.1] [YTS.MX]/Over.The.Top.1987.REPACK.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Over The Top (1987) [REPACK] [1080p] [BluRay] [5.1] [YTS.MX]/Over.The.Top.1987.REPACK.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Over The Top (1987) [REPACK] [1080p] [BluRay] [5.1] [YTS.MX],Over The Top (1987) [REPACK] [1080p] [BluRay] [5.1] [YTS.MX],Over The Top (1987) [REPACK] [1080p] [BluRay] [5.1] [YTS.MX]
Paddington In Peru,2024,2160p,/media/tushita/DATA/movies/Paddington In Peru (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Paddington.In.Peru.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Paddington In Peru (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Paddington.In.Peru.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Paddington In Peru (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Paddington In Peru (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Paddington In Peru (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]
