name,year,quality,path,relative_path,folder,category,directory
The Lord Of The Rings The Two Towers,2002,2160p,/media/tushita/DATA/movies/The Lord Of The Rings The Two Towers (2002) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/The.Lord.Of.The.Rings.The.Two.Towers.2002.EXTENDED.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,The Lord Of The Rings The Two Towers (2002) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/The.Lord.Of.The.Rings.The.Two.Towers.2002.EXTENDED.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,The Lord Of The Rings The Two Towers (2002) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX],The Lord Of The Rings The Two Towers (2002) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX],The Lord Of The Rings The Two Towers (2002) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX]
The Other Guys,2010,2160p,/media/tushita/DATA/movies/The Other Guys (2010) [2160p] [4K] [WEB] [5.1] [YTS.MX]/The.Other.Guys.2010.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,The Other Guys (2010) [2160p] [4K] [WEB] [5.1] [YTS.MX]/The.Other.Guys.2010.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,The Other Guys (2010) [2160p] [4K] [WEB] [5.1] [YTS.MX],The Other Guys (2010) [2160p] [4K] [WEB] [5.1] [YTS.MX],The Other Guys (2010) [2160p] [4K] [WEB] [5.1] [YTS.MX]
The Primevals,2023,1080p,/media/tushita/DATA/movies/The Primevals (2023) [1080p] [WEBRip] [x265] [10bit] [YTS.MX]/The.Primevals.2023.1080p.WEBRip.x265.10bit.AAC-[YTS.MX].mp4,The Primevals (2023) [1080p] [WEBRip] [x265] [10bit] [YTS.MX]/The.Primevals.2023.1080p.WEBRip.x265.10bit.AAC-[YTS.MX].mp4,The Primevals (2023) [1080p] [WEBRip] [x265] [10bit] [YTS.MX],The Primevals (2023) [1080p] [WEBRip] [x265] [10bit] [YTS.MX],The Primevals (2023) [1080p] [WEBRip] [x265] [10bit] [YTS.MX]
DragonHeart,1996,2160p,/media/tushita/DATA/movies/DragonHeart (1996) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/DragonHeart.1996.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,DragonHeart (1996) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/DragonHeart.1996.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,DragonHeart (1996) [2160p] [4K] [BluRay] [5.1] [YTS.MX],DragonHeart (1996) [2160p] [4K] [BluRay] [5.1] [YTS.MX],DragonHeart (1996) [2160p] [4K] [BluRay] [5.1] [YTS.MX]
Dragonheart Vengeance,2020,1080p,/media/tushita/DATA/movies/Dragonheart Vengeance (2020) [1080p] [BluRay] [5.1] [YTS.MX]/Dragonheart.Vengeance.2020.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Dragonheart Vengeance (2020) [1080p] [BluRay] [5.1] [YTS.MX]/Dragonheart.Vengeance.2020.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Dragonheart Vengeance (2020) [1080p] [BluRay] [5.1] [YTS.MX],Dragonheart Vengeance (2020) [1080p] [BluRay] [5.1] [YTS.MX],Dragonheart Vengeance (2020) [1080p] [BluRay] [5.1] [YTS.MX]
Emma,2020,1080p,/media/tushita/DATA/movies/Emma. (2020) [1080p] [BluRay] [5.1] [YTS.MX]/Emma..2020.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Emma. (2020) [1080p] [BluRay] [5.1] [YTS.MX]/Emma..2020.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Emma. (2020) [1080p] [BluRay] [5.1] [YTS.MX],Emma. (2020) [1080p] [BluRay] [5.1] [YTS.MX],Emma. (2020) [1080p] [BluRay] [5.1] [YTS.MX]
First Blood,1982,2160p,/media/tushita/DATA/movies/First Blood (1982) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/First.Blood.1982.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,First Blood (1982) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/First.Blood.1982.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,First Blood (1982) [2160p] [4K] [BluRay] [5.1] [YTS.MX],First Blood (1982) [2160p] [4K] [BluRay] [5.1] [YTS.MX],First Blood (1982) [2160p] [4K] [BluRay] [5.1] [YTS.MX]
Free Willy,1993,1080p,/media/tushita/DATA/movies/Free Willy (1993) [1080p]/Free.Willy.1993.1080p.BluRay.x264.YIFY.mp4,Free Willy (1993) [1080p]/Free.Willy.1993.1080p.BluRay.x264.YIFY.mp4,Free Willy (1993) [1080p],Free Willy (1993) [1080p],Free Willy (1993) [1080p]
Free Willy 2 The Adventure Home,1995,1080p,/media/tushita/DATA/movies/Free Willy 2 The Adventure Home (1995) [1080p] [WEBRip] [YTS.MX]/Free.Willy.2.The.Adventure.Home.1995.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,Free Willy 2 The Adventure Home (1995) [1080p] [WEBRip] [YTS.MX]/Free.Willy.2.The.Adventure.Home.1995.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,Free Willy 2 The Adventure Home (1995) [1080p] [WEBRip] [YTS.MX],Free Willy 2 The Adventure Home (1995) [1080p] [WEBRip] [YTS.MX],Free Willy 2 The Adventure Home (1995) [1080p] [WEBRip] [YTS.MX]
Full Metal Jacket,1987,2160p,/media/tushita/DATA/movies/Full Metal Jacket (1987) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Full.Metal.Jacket.1987.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Full Metal Jacket (1987) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Full.Metal.Jacket.1987.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Full Metal Jacket (1987) [2160p] [4K] [BluRay] [5.1] [YTS.MX],Full Metal Jacket (1987) [2160p] [4K] [BluRay] [5.1] [YTS.MX],Full Metal Jacket (1987) [2160p] [4K] [BluRay] [5.1] [YTS.MX]
